brand,website,emails
fruitzaamgifts,www.fruitzaamgifts.nl,"['klantenservice@fruitzaamgifts.nl', 'verkoop@fruitzaamgifts.nl', 'administratie@fruitzaamgifts.nl']"
tuincentrum osdorp,https://www.osdorp.nl,['infobalie@osdorp.nl']
kunstkopie.nl,www.kunstkopie.nl,None
office centre,www.officecentre.nl,['privacy@officecentre.nl']
dutch label store,www.dutchlabelstore.nl,"['sales@dutchlabelstore.nl', 'sales@dutchlabelstore.nl', 'sales@dutchlabelstore.nl']"
v&d,https://www.vd.nl,['klantenservice@vd.nl']
alternate.nl,https://www.alternate.nl,['klantenservice@alternate.nl']
fiyo.nl,https://www.fiyo.nl,None
peddler,https://www.peddler.com,['helpdesk@peddler.com']
soldeerbout-shop.nl,https://www.soldeerbout-shop.nl,['info@soldeerbout-shop.nl']
